diario,titulo,contenido,fecha de extracción,contenido_depurado,resut_sentim,mejor_etiqueta,mejor_score
www.ambito.com,"Quiénes son los gemelos Strüngmann, los multimillonarios que revolucionaron el mundo de la salud y se hicieron ricos con el Covid-19","<p>La pandemia fue un fenómeno que perjudicó a la mayor parte de la población mundial. Pero para estos inversores, significó la posibilidad de negocios millonarios.</p>","Sat, 11 May 2024 06:00:00 -0300","La pandemia fue un fenómeno que perjudicó a la mayor parte de la población mundial. Pero para estos inversores, significó la posibilidad de negocios millonarios.",NEG,análisis macroeconómico,0.4379643201828003
www.ambito.com,El mito de crear una empresa en EEUU,"<p>Antes de sumergirse en esta dinámica hay que contar con un capital de respaldo para poder invertir de forma anticipada, sin apresurarse a tomar decisiones.</p>","Sat, 11 May 2024 00:00:00 -0300","Antes de sumergirse en esta dinámica hay que contar con un capital de respaldo para poder invertir de forma anticipada, sin apresurarse a tomar decisiones.",NEU,políticas monetarias,0.2898467183113098
www.ambito.com,Hot Sale 2024: bancos y billeteras virtuales ofrecen descuentos de hasta 70% y cuotas sin interés,"<p>La décima edición de este evento, que impulsa la Cámara Argentina de Comercio Electrónico (CACE), contará con múltiples ofertas y cuotas sin interés por parte de bancos y billeteras virtuales, los cuales detallamos a continuación.</p>","Sat, 11 May 2024 00:00:00 -0300","La décima edición de este evento, que impulsa la Cámara Argentina de Comercio Electrónico (CACE), contará con múltiples ofertas y cuotas sin interés por parte de bancos y billeteras virtuales, los cuales detallamos a continuación.",NEU,tendencias del mercado,0.2977735698223114
www.ambito.com,"CAPRIMSA, la cámara empresarial que apunta a la creatividad y a la sinergia para su crecimiento","<p>CAPRIMSA cuenta con más de 200 socios entre pequeñas, medianas y grandes empresas; y a pesar de que es relativamente nueva, ya se perfila como una de las más importantes del país.</p>","Sat, 11 May 2024 00:00:00 -0300","CAPRIMSA cuenta con más de 200 socios entre pequeñas, medianas y grandes empresas; y a pesar de que es relativamente nueva, ya se perfila como una de las más importantes del país.",POS,mercados emergentes,0.2225099802017212
www.ambito.com,"Quién es Renáta Kellnerová, la mujer más rica de Europa del este que dirige un imperio de 43.000 millones de dólares",<p>En esta nota vas a poder conocer cómo Kellnerová se convirtió en una de las mujeres más ricas del mundo y de Europa.</p>,"Fri, 10 May 2024 18:00:00 -0300",En esta nota vas a poder conocer cómo Kellnerová se convirtió en una de las mujeres más ricas del mundo y de Europa.,POS,mercados emergentes,0.4316640794277191
www.ambito.com,"Quién es Frank Lowy, el multimillonario que escapó de los nazis y ahora es el rey de los shoppings","<p>Es uno de los millonarios con una de las historias de supervivencia más fuertes. Pero pudo emigrar, progresar en Australia e inaugurar centros comerciales.</p>","Fri, 10 May 2024 15:30:00 -0300","Es uno de los millonarios con una de las historias de supervivencia más fuertes. Pero pudo emigrar, progresar en Australia e inaugurar centros comerciales.",POS,políticas monetarias,0.5506075620651245
www.ambito.com,"Tras despidos, Elon Musk anunció que Tesla invertirá u$s500 millones en la red de recarga rápida","<p>Tras los despidos de la semana pasada, Musk dijo que Tesla planeaba ampliar la red de Supercargadores, pero a un ritmo más lento para las nuevas ubicaciones.</p>","Fri, 10 May 2024 14:59:33 -0300","Tras los despidos de la semana pasada, Musk dijo que Tesla planeaba ampliar la red de Supercargadores, pero a un ritmo más lento para las nuevas ubicaciones.",NEU,políticas monetarias,0.2832624912261963
www.ambito.com,"Presidente de Toyota: ""Con la importación de autos la rentabilidad está equilibrada""","<p>En diálogo con Ámbito, Gustavo Salinas analizó también otros temas vinculados con la empresa como la rentabilidad en las importaciones, la reducción de la producción y la marcha del plan de retiro voluntario que está aplicando la empresa.</p>","Fri, 10 May 2024 11:09:00 -0300","En diálogo con Ámbito, Gustavo Salinas analizó también otros temas vinculados con la empresa como la rentabilidad en las importaciones, la reducción de la producción y la marcha del plan de retiro voluntario que está aplicando la empresa.",NEU,mercados emergentes,0.30930790305137634
www.ambito.com,"La opa del BBVA sobre Sabadell, una carrera de obstáculos de incierto desenlace","<p>La opa del BBVA por Sabadell enfrenta la oposición de la dirección del banco catalán, para quien esta propuesta -idéntica a una oferta amistosa de fusión rechazada el lunes- ""infravalora significativamente"" su valor.</p>","Fri, 10 May 2024 10:37:54 -0300","La opa del BBVA por Sabadell enfrenta la oposición de la dirección del banco catalán, para quien esta propuesta -idéntica a una oferta amistosa de fusión rechazada el lunes- ""infravalora significativamente"" su valor.",NEG,análisis macroeconómico,0.3223213255405426
www.ambito.com,"Quién es Gina Rinehart, la multimillonaria que negaba el cambio climático y ahora se hace rica con la energía verde",<p>La empresaria originaria de Australia es una de las millonarias de la minería que pasó a priorizar la producción de litio.</p>,"Fri, 10 May 2024 09:54:00 -0300",La empresaria originaria de Australia es una de las millonarias de la minería que pasó a priorizar la producción de litio.,NEU,tendencias del mercado,0.37600478529930115
www.perfil.com,Prepagas bajo fuego: por qué es inviable el libre mercado,"<p><img src=""https://fotos.perfil.com/2024/05/12/trim/540/304/medicina-moderna-1800459.jpeg"" alt=""Medicina moderna"" /></p>En el ámbito de la salud, la lógica de la competencia se ve seriamente afectada por la información asimétrica, entre otros factores porque los pacientes no se encuentran en condiciones de tomar decisiones racionales sobre su atención médica. <a href=""https://noticias.perfil.com/noticias/economia/por-que-es-inviable-el-libre-mercado.phtml"">Leer más</a>","Sun, 12 May 2024 14:10:08 GMT","En el ámbito de la salud, la lógica de la competencia se ve seriamente afectada por la información asimétrica, entre otros factores porque los pacientes no se encuentran en condiciones de tomar decisiones racionales sobre su atención médica.Leer más",NEG,políticas monetarias,0.3930298686027527
www.perfil.com,Cámaras de Córdoba ya trabajan para dar contenido a los 10 puntos del Pacto de Mayo ,"<p><img src=""https://fotos.perfil.com/2024/05/11/trim/540/304/12-05-24pactomayo-1800257.jpg"" alt=""12-05-24pactomayo"" /></p>Hoy lo está empujando la Cámara de Metalúrgicos pero otras entidades podrían acoplarse y van en ese sentido. Buscarían firmar la adhesión al Pacto de Mayo y rubricar un compromiso para generar contenido a sus principios establecidos.  <a href=""https://www.perfil.com/noticias/cordoba/camaras-de-cordoba-ya-trabajan-para-dar-contenido-a-los-10-puntos-del-pacto-de-mayo.phtml"">Leer más</a>","Sun, 12 May 2024 03:59:00 GMT",Hoy lo está empujando la Cámara de Metalúrgicos pero otras entidades podrían acoplarse y van en ese sentido. Buscarían firmar la adhesión al Pacto de Mayo y rubricar un compromiso para generar contenido a sus principios establecidos.Leer más,NEU,mercados emergentes,0.32425275444984436
www.perfil.com,Fabricantes de autos insisten en agenda con gobierno para bajar impuestos ,"<p><img src=""https://fotos.perfil.com/2024/05/11/trim/540/304/12-05-24adefa-1800261.jpg"" alt=""12-05-24adefa"" /></p>La carga fiscal explica cerca del 58% del precio de los autos que se venden en el mercado interno. Referentes de la entidad que nuclea a los fabricantes confirmaron que siguen planteando al gobierno nacional un esquema de reducción progresivo de la presión tributaria. A qué reducción apuntan y qué plazos manejan.  <a href=""https://www.perfil.com/noticias/cordoba/fabricantes-de-autos-insisten-en-agenda-con-gobierno-para-bajar-impuestos.phtml"">Leer más</a>","Sun, 12 May 2024 03:55:00 GMT",La carga fiscal explica cerca del 58% del precio de los autos que se venden en el mercado interno. Referentes de la entidad que nuclea a los fabricantes confirmaron que siguen planteando al gobierno nacional un esquema de reducción progresivo de la presión tributaria. A qué reducción apuntan y qué plazos manejan.Leer más,NEU,oportunidades de inversión,0.5214935541152954
www.perfil.com,Un mal plan desinflacionario de dos mastines ingleses,"<p><img src=""https://fotos.perfil.com/2024/04/23/trim/540/304/dia-135-a-quien-le-habla-milei-1789962.jpg"" alt=""Día 135: ¿A quién le habla Milei? "" /></p>El actual plan monetario desinflacionario es una mezcla sui generis y mal hecha de dos vertientes diferentes de la escuela de Chicago, con probables y potenciales consecuencias negativas si es que no hay profundos cambios en el diseño politico.

.  <a href=""https://www.perfil.com/noticias/opinion/un-mal-plan-desinflacionario-de-dos-mastines-ingleses-por-diego-giacomini.phtml"">Leer más</a>","Sun, 12 May 2024 03:00:14 GMT","El actual plan monetario desinflacionario es una mezcla sui generis y mal hecha de dos vertientes diferentes de la escuela de Chicago, con probables y potenciales consecuencias negativas si es que no hay profundos cambios en el diseño politico.

.Leer más",NEG,mercados emergentes,0.7243869304656982
www.perfil.com,"Las que quedarán afuera: trabajaron toda su vida, pero no podrán jubilarse","<p><img src=""https://fotos.perfil.com/2024/05/12/trim/540/304/20240512mujeresjubilacioncedocg-1800406.jpg"" alt=""20240512_mujeres_jubilacion_cedoc_g"" /></p>Si se aprueba la ley Bases, que incorpora un cambio en el sistema previsional, las mujeres que tengan más de 65 años y no cuenten con 30 años de aportes no podrán jubilarse. Desde la Defensoría de la Tercera Edad explican que en la práctica la moratoria ya está suspendida: ANSES no entrega turnos desde hace dos meses. Historias de tres mujeres que, a pesar de trabajar durante décadas, no podrían jubilarse en los próximos años. <a href=""https://www.perfil.com/noticias/economia/las-que-quedaran-afuera-trabajaron-toda-su-vida-pero-no-podran-jubilarse.phtml"">Leer más</a>","Sun, 12 May 2024 02:55:00 GMT","Si se aprueba la ley Bases, que incorpora un cambio en el sistema previsional, las mujeres que tengan más de 65 años y no cuenten con 30 años de aportes no podrán jubilarse. Desde la Defensoría de la Tercera Edad explican que en la práctica la moratoria ya está suspendida: ANSES no entrega turnos desde hace dos meses. Historias de tres mujeres que, a pesar de trabajar durante décadas, no podrían jubilarse en los próximos años.Leer más",NEG,análisis macroeconómico,0.5875694751739502
www.perfil.com,Inflación núcleo: ¿sirve para pronosticar lo que pasará en los próximos meses?,"<p><img src=""https://fotos.perfil.com/2024/05/11/trim/540/304/inflacion-general-y-nucleo-1800298.jpg"" alt=""inflación general y núcleo "" /></p>A la espera del dato oficial de abril, las consultoras estimaron para ese mes entre un 8% y un 9% de variación en el índice de precios. El Gobierno hace especial hincapié en la inflación núcleo, que puede marcar una tendencia a más largo plazo, y que en los últimos meses estuvo por debajo del índice general. Pero esta medición deja afuera, por ejemplo, el aumento de tarifas. Economistas advierten también que la desaceleración de la inflación puede seguir, pero que hasta ahora fue a costa de reducción de actividad y consumo. <a href=""https://www.perfil.com/noticias/economia/inflacion-nucleo-sirve-para-pronosticar-lo-que-pasara-en-los-proximos-meses.phtml"">Leer más</a>","Sun, 12 May 2024 02:55:00 GMT","A la espera del dato oficial de abril, las consultoras estimaron para ese mes entre un 8% y un 9% de variación en el índice de precios. El Gobierno hace especial hincapié en la inflación núcleo, que puede marcar una tendencia a más largo plazo, y que en los últimos meses estuvo por debajo del índice general. Pero esta medición deja afuera, por ejemplo, el aumento de tarifas. Economistas advierten también que la desaceleración de la inflación puede seguir, pero que hasta ahora fue a costa de reducción de actividad y consumo.Leer más",NEG,oportunidades de inversión,0.3833945393562317
www.perfil.com,Reforma laboral: señales de desempleo,"<p><img src=""https://fotos.perfil.com/2024/05/11/trim/540/304/trabajadores-1800175.jpeg"" alt=""Trabajadores"" /></p>Los cambios que se discuten en la legislación del trabajo se refieren a un mercado fragmentado y que no genera puestos de calidad.
 <a href=""https://noticias.perfil.com/noticias/economia/senales-de-desempleo.phtml"">Leer más</a>","Sat, 11 May 2024 14:22:23 GMT",Los cambios que se discuten en la legislación del trabajo se refieren a un mercado fragmentado y que no genera puestos de calidad.Leer más,NEG,oportunidades de inversión,0.4301464557647705
www.perfil.com,Bonos y acciones en baja a la espera del tratamiento de la ley Bases en el Senado,"<p><img src=""https://fotos.perfil.com/2024/05/11/trim/540/304/20240511mercadosbonosaccionesxinhuag-1800144.jpg"" alt=""20240511_mercados_bonos_acciones_xinhua_g"" /></p>El sector financiero puso pausa al entusiasmo de la deuda soberana y papeles argentinos a la espera de la aprobación del proyecto en la Cámara Alta. El Merval tuvo su peor racha en tres meses, arrastrado por la caída de YPF tras la presentación de su balance del primer trimestre. Los dólares continúan planchados y el blue oscila su valor en las últimas semanas entre $ 1,40 y $ 1.045. El BCRA extiende la acumlación de reserva y esta semana compró US$ 802 millones en el MULC. <a href=""https://www.perfil.com/noticias/economia/bonos-y-acciones-en-baja-a-la-espera-del-tratamiento-de-la-ley-bases-en-el-senado.phtml"">Leer más</a>","Sat, 11 May 2024 05:53:25 GMT","El sector financiero puso pausa al entusiasmo de la deuda soberana y papeles argentinos a la espera de la aprobación del proyecto en la Cámara Alta. El Merval tuvo su peor racha en tres meses, arrastrado por la caída de YPF tras la presentación de su balance del primer trimestre. Los dólares continúan planchados y el blue oscila su valor en las últimas semanas entre $ 1,40 y $ 1.045. El BCRA extiende la acumlación de reserva y esta semana compró US$ 802 millones en el MULC.Leer más",NEG,tendencias del mercado,0.2629038393497467
www.perfil.com,"El reto de las reservas, una disputa de poderosos y la pesada deuda eléctrica","<p><img src=""https://fotos.perfil.com/2024/05/11/trim/540/304/20240511cortocircuitomileitemesg-1800133.jpg"" alt=""20240511_cortocircuito_milei_temes_g"" /></p>La cuenta de los dólares del Banco Central tiene un saldo negtivo de US$ 2.300 millones. Y el ritmo de acumulación viene lento ante la demora del campo a la hora de liquidar la cosecha. Aún con la aprobación formal del FMI a las metas del primer trimestre, habrá que esperar al mes que viene para salir del rojo. La pelea entre Mercado Pago y los bancos obligará, quiera o no el Gobierno, a que intervenga la Comisión de Defensa de la Competencia. Las energéticas advierten: no quieren bonos. <a href=""https://www.perfil.com/noticias/economia/el-reto-de-las-reservas-una-disputa-de-poderosos-y-la-pesada-deuda-electrica.phtml"">Leer más</a>","Sat, 11 May 2024 05:10:54 GMT","La cuenta de los dólares del Banco Central tiene un saldo negtivo de US$ 2.300 millones. Y el ritmo de acumulación viene lento ante la demora del campo a la hora de liquidar la cosecha. Aún con la aprobación formal del FMI a las metas del primer trimestre, habrá que esperar al mes que viene para salir del rojo. La pelea entre Mercado Pago y los bancos obligará, quiera o no el Gobierno, a que intervenga la Comisión de Defensa de la Competencia. Las energéticas advierten: no quieren bonos.Leer más",NEG,análisis macroeconómico,0.3035795986652374
www.perfil.com,Cinco meses de gestión sin un plan: qué puede pasar si la única receta es el ajuste,"<p><img src=""https://fotos.perfil.com/2024/05/10/trim/540/304/ajuste-1800000.jpg"" alt=""AJUSTE"" /></p>La mayoría de los economistas consultados por PERFIL piensa que el gobierno libertario no tiene un plan de estabilización, sino que aplica y seguirá aplicando un ajuste ortodoxo. Las consecuencias ya se notan en el nivel de empleo, de actividad, de caída del poder adquisitivo y en los índices de pobreza. Sin un objetivo claro a largo plazo, advierten, difícilmente la recuperación tenga lugar. La baja en los niveles de actividad es la mayor desde la pandemia. <a href=""https://www.perfil.com/noticias/economia/cinco-meses-de-gestion-sin-un-plan-que-puede-pasar-si-la-unica-receta-es-el-ajuste.phtml"">Leer más</a>","Sat, 11 May 2024 02:50:00 GMT","La mayoría de los economistas consultados por PERFIL piensa que el gobierno libertario no tiene un plan de estabilización, sino que aplica y seguirá aplicando un ajuste ortodoxo. Las consecuencias ya se notan en el nivel de empleo, de actividad, de caída del poder adquisitivo y en los índices de pobreza. Sin un objetivo claro a largo plazo, advierten, difícilmente la recuperación tenga lugar. La baja en los niveles de actividad es la mayor desde la pandemia.Leer más",NEG,mercados emergentes,0.3653736710548401
www.perfil.com,"El ""efecto chicharrita"" le costará US$ 2.000 millones a la economía por las pérdidas de maíz","<p><img src=""https://fotos.perfil.com/2024/04/05/trim/540/304/complicada-situacion-de-productores-por-la-chicharrita-1780806.jpg"" alt=""Complicada situación de productores por la “Chicharrita”"" /></p>Los efectos de la enfermedad transmitida por el insecto en los rendimientos obligó a volver a recortar las proyecciones. <a href=""https://www.perfil.com/noticias/economia/el-efecto-chicharrita-le-costara-us-2000-millones-a-la-economia-por-las-perdidas-de-maiz.phtml"">Leer más</a>","Fri, 10 May 2024 23:18:00 GMT",Los efectos de la enfermedad transmitida por el insecto en los rendimientos obligó a volver a recortar las proyecciones.Leer más,NEG,mercados emergentes,0.3762667179107666
www.perfil.com,"Comedores repletos y ausentismo escolar, el detrás de la pobreza","<p><img src=""https://fotos.perfil.com/2024/05/10/trim/540/304/pobreza-di-tella-1799999.jpg"" alt=""pobreza di tella"" /></p>El índice que mide la cantidad de pobres creció casi siete puntos en tres meses. Ese número se nota en las escuelas, en los comedores y en los comercios. Los alumnos no llegan a las aulas, hay cada vez más gente yendo a buscar comida, y millones de jubilados no pueden afrontar gastos médicos básicos. La realidad detrás de los números y los excels. <a href=""https://www.perfil.com/noticias/economia/comedores-repletos-y-ausentismo-escolar-el-detras-de-la-pobreza.phtml"">Leer más</a>","Fri, 10 May 2024 23:04:00 GMT","El índice que mide la cantidad de pobres creció casi siete puntos en tres meses. Ese número se nota en las escuelas, en los comedores y en los comercios. Los alumnos no llegan a las aulas, hay cada vez más gente yendo a buscar comida, y millones de jubilados no pueden afrontar gastos médicos básicos. La realidad detrás de los números y los excels.Leer más",NEG,políticas monetarias,0.5303343534469604
www.perfil.com,Empleadas domésticas: qué se necesita para tramitar la jubilación,"<p><img src=""https://fotos.perfil.com/2023/01/04/trim/540/304/beneficios-empleadas-casas-particulares-1485391.png"" alt=""Beneficios empleadas casas particulares."" /></p>Los trabajadores de casas particulares deberán presentar la documentación necesaria ante la ANSES al momento de iniciar los trámites jubilatorios. <a href=""https://www.perfil.com/noticias/economia/empleadas-domesticas-que-se-necesita-para-tramitar-la-jubilacion.phtml"">Leer más</a>","Fri, 10 May 2024 22:46:00 GMT",Los trabajadores de casas particulares deberán presentar la documentación necesaria ante la ANSES al momento de iniciar los trámites jubilatorios.Leer más,NEU,tendencias del mercado,0.3390430808067322
www.perfil.com,"“Las ocho verdades que son mentira” del Estado según Federico Sturzenegger, uno de los gurúes de Javier Milei","<p><img src=""https://fotos.perfil.com/2024/05/10/trim/540/304/federico-sturzenegger-1799985.jpg"" alt=""Federico Sturzenegger"" /></p>Cómo se desarma el modelo de la casta. Cómo se devuelve la libertad a las personas y se aumenta la competencia. Una interpelación para comenzar a pensar de otra manera el “cambio” que propone el presidente. <a href=""https://www.perfil.com/noticias/cordoba/las-ocho-verdades-que-son-mentira-del-estado-segun-federico-sturzenegger-uno-de-los-gurues-de-javier-milei.phtml"">Leer más</a>","Fri, 10 May 2024 22:35:28 GMT",Cómo se desarma el modelo de la casta. Cómo se devuelve la libertad a las personas y se aumenta la competencia. Una interpelación para comenzar a pensar de otra manera el “cambio” que propone el presidente.Leer más,NEU,análisis macroeconómico,0.3514290750026703
www.perfil.com,YPF avanza en un proyecto de oleoducto de US$ 2.500 millones tras obtener la aprobación ambiental,"<p><img src=""https://fotos.perfil.com/2024/05/10/trim/540/304/BC-ypf-avanza-en-proyecto-de-oleoducto-de-us2500-millones-tras-obtener-la-aprobacion-ambiental-zW.jpg"" alt=""Argentina?s Shale Ambitions Hang In Balance After YPF Bond Drama"" /></p>Las exportaciones de petróleo son una forma más rápida de generar los miles de millones de dólares al año que Argentina requiere para ayudar a recuperar su economía en dificultades. <a href=""https://www.perfil.com/noticias/bloomberg/bc-ypf-avanza-en-proyecto-de-oleoducto-de-us2500-millones-tras-obtener-la-aprobacion-ambiental.phtml"">Leer más</a>","Fri, 10 May 2024 22:17:00 GMT",Las exportaciones de petróleo son una forma más rápida de generar los miles de millones de dólares al año que Argentina requiere para ayudar a recuperar su economía en dificultades.Leer más,NEU,análisis macroeconómico,0.3576405644416809
www.perfil.com,El INDEC desmintió a Milei: los salarios volvieron a perder contra la inflación en marzo,"<p><img src=""https://fotos.perfil.com/2024/05/10/trim/540/304/javier-milei-en-la-entrevista-con-univision-20240510-1799483.jpg"" alt=""Javier Milei en la entrevista con Univisión 20240510"" /></p>El índice que elabora el INDEC desmintió la afirmación del presidente Javier Milei, quien señaló que habían comenzado a ganarle a la inflación. <a href=""https://www.perfil.com/noticias/economia/los-salarios-volvieron-a-perder-contra-la-inflacion-en-marzo.phtml"">Leer más</a>","Fri, 10 May 2024 21:15:00 GMT","El índice que elabora el INDEC desmintió la afirmación del presidente Javier Milei, quien señaló que habían comenzado a ganarle a la inflación.Leer más",NEU,oportunidades de inversión,0.37771129608154297
www.perfil.com,El dólar blue cerró a $1020 para la compra y $1040 para la venta este viernes 10 de mayo de 2024,"<p><img src=""https://fotos.perfil.com/2024/04/08/trim/540/304/dolar-1781700.jpg"" alt=""Dólar"" /></p>Conoce los valores de cierre de la divisa estadounidense, hoy 10 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/el-dolar-blue-cerro-a-1020-para-la-compra-y-1040-para-la-venta-este-viernes-10-de-mayo-de-2024.phtml"">Leer más</a>","Fri, 10 May 2024 20:30:00 GMT","Conoce los valores de cierre de la divisa estadounidense, hoy 10 de mayo de 2024.Leer más",NEU,políticas monetarias,0.35878637433052063
www.perfil.com,El euro blue cerró a $1098 para la compra y $1130 para la venta este viernes 10 de mayo de 2024,"<p><img src=""https://fotos.perfil.com/2022/09/06/trim/540/304/euros-20220906-1414797.jpg"" alt=""Euros 20220906"" /></p>Conoce los valores de cierre de la divisa europea, hoy 10 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/el-euro-blue-cerro-a-1098-para-la-compra-y-1130-para-la-venta-este-viernes-10-de-mayo-de-2024.phtml"">Leer más</a>","Fri, 10 May 2024 20:28:00 GMT","Conoce los valores de cierre de la divisa europea, hoy 10 de mayo de 2024.Leer más",NEU,políticas monetarias,0.34409505128860474
www.perfil.com,Cierre de mercado: qué pasó con las acciones y bonos este 10 de mayo y cuál es la expectativa con la Ley Bases,"<p><img src=""https://fotos.perfil.com/2024/05/10/trim/540/304/cierre-de-mercado-que-paso-con-las-acciones-y-bonos-este-10-de-mayo-y-cual-es-la-expectativa-con-la-ley-bases-1799923.jpg"" alt=""Cierre de mercado: qué pasó con las acciones y bonos este 10 de mayo y cuál es la expectativa con la Ley Bases"" /></p>“Hay mucha expectativa con la Ley Bases, el mercado descuenta que la ley se va a aprobar”, destacó el economista Lucas Carattini. <a href=""https://www.perfil.com/noticias/canal-e/cierre-de-mercado-que-paso-con-las-acciones-y-bonos-este-10-de-mayo-y-cual-es-la-expectativa-con-la-ley-bases.phtml"">Leer más</a>","Fri, 10 May 2024 20:26:03 GMT","“Hay mucha expectativa con la Ley Bases, el mercado descuenta que la ley se va a aprobar”, destacó el economista Lucas Carattini.Leer más",NEU,políticas monetarias,0.26811864972114563
www.perfil.com,"A cuánto cerró el real blue hoy, viernes 10 de mayo de 2024","<p><img src=""https://fotos.perfil.com/2023/01/04/trim/540/304/real-brasileno-1485757.jpg"" alt=""Real brasileño"" /></p>Conoce los valores de cierre de la divisa brasilera, hoy 10 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/a-cuanto-cerro-el-real-blue-hoy-viernes-10-de-mayo-de-2024.phtml"">Leer más</a>","Fri, 10 May 2024 20:26:00 GMT","Conoce los valores de cierre de la divisa brasilera, hoy 10 de mayo de 2024.Leer más",NEU,políticas monetarias,0.34490257501602173
